poi_id,name,type,lon,lat,district
B0J1VRC2JK,袁记云饺(天津市东丽区利津路店),快餐厅,117.308027,39.086431,东丽区
B0HRRMRDP4,达美乐比萨(东丽万达店),快餐厅,117.324562,39.081223,东丽区
B0K17GU0CT,张记包子铺(万隆花园店),快餐厅,117.281217,39.121705,东丽区
B0FFGDG22Z,麦当劳(春华路DT餐厅),快餐厅,117.551863,39.089799,东丽区
B0FFFS4DQF,麦当劳(丽新路DT店),快餐厅,117.344285,39.076154,东丽区
B001615089,麦当劳(东环路DT餐厅),快餐厅,117.507585,39.040486,东丽区
B0FFK36SNH,麦当劳(中街商业广场店),快餐厅,117.438674,39.065926,东丽区
B0HRAULS8L,必胜客(东丽万达广场店),快餐厅,117.326969,39.080699,东丽区
B0IG1HFW9Q,达美乐比萨(福煦广场店),快餐厅,117.383765,39.169219,东丽区
B001607QZU,肯德基(利津店),快餐厅,117.308459,39.088084,东丽区
B0J6NCORLX,汉堡王(东丽万达店),快餐厅,117.324708,39.081256,东丽区
B0G0D462AP,肯德基(天津东五道店),快餐厅,117.40864,39.150391,东丽区
B0JA15K3XM,德克士(华明镇店),快餐厅,117.390759,39.172505,东丽区
B0I6PZH6UX,必胜客(建邦时代汇建邦时代广场店),快餐厅,117.385714,39.169618,东丽区
B0L0SAJCEQ,麦当劳赤海路IS餐厅,快餐厅,117.411238,39.169924,东丽区
