poi_id,name,lon,lat,connect_to,connect_type,d_branch
B0M6F11I1P,天津医科大学总医院第二住院楼快递柜,117.183925,39.118125,1-5,edge,214.90320672121572
B0FFMHL26X,菜鸟驿站(华荫东里店),117.197416,39.114974,1-2,edge,655.2278091844483
B0FFFP3NEA,连发搬家物流有限公司,117.205709,39.128729,1-4,edge,355.03492417977856
B0FFH81J8V,菜鸟驿站(宜昌北里店),117.1878,39.10895,1-5,edge,822.0969008353561
B0L03RCUQX,中国邮政(宜昌道支行),117.188667,39.109876,1-5,edge,794.9722965218691
B001606C1T,阳明海运股份有限公司,117.197555,39.117805,1-2,edge,538.1829598706673
B0LKRB5AL6,丰巢快递柜(南京路站),117.210975,39.116625,1-2,edge,480.9541538717128
B0LK7Z2JV4,丰巢快递柜(天津医科大学总医院2号门丰巢速递易柜5号),117.18496,39.11777,1-5,edge,175.65678831295398
B0LK3MZ7V5,菜鸟驿站(朝阳里店),117.18876,39.101716,1-5,edge,1474.0669670418426
B0FFMCLO82,顺丰速运(国金快递服务中心),117.199,39.12,1-2,edge,271.3837745009009
B0H2FSLVU6,顺丰速运(汉阳道店),117.191925,39.111025,1-5,edge,866.2751770068417
B0L1JU99Q2,京东快递(赤峰道店),117.208825,39.128175,1-4,edge,352.26442224399216
B0KAAX6ITH,京东天津-碧云营业部,117.190486,39.113511,1-5,edge,601.6083371325342
B0L2GKSCUF,金泉物流有限公司,117.218975,39.116225,1-4,edge,1017.4362858031233
B0FFG6AR19,嘉宏航运(天津)有限公司,117.218586,39.117104,1-4,edge,916.084301481561
B0JDAO5FS9,菜鸟驿站(天津和平岳阳道47号店),117.19748,39.1118,1-2,edge,859.5996822534421
B0JDBDBJ8S,兔喜快递超市(建津里店),117.182725,39.111625,1-5,edge,292.84091199241584
B0KA5UBUC0,顺丰速运(乐宾店),117.194713,39.119887,1-5,edge,318.94817616566434
B0FFMG6YRS,菜鸟驿站(同安南里店),117.180549,39.103963,1-5,edge,796.9431633487709
B0IU7XPYGB,菜鸟驿站(天津和平区天汇中心3号楼店),117.18846,39.1317,1-6,edge,104.3337731940385
B0G2B1COGQ,菜鸟驿站(诚基中心店),117.202317,39.116362,1-2,edge,212.93331945965602
B0FFJG3J1O,丰巢快递柜(南京路店),117.202501,39.117522,1-2,edge,149.85763165117123
B0HK0ON9EE,菜鸟驿站(养和里小区店),117.21463,39.11658,1-2,edge,729.0689146420061
B0JD0XVEC9,菜鸟驿站(天津和平万全道98号店),117.186614,39.122294,1-5,edge,381.5500075527402
B0GK1MW38M,京东物流(同方花园店),117.18998,39.128471,1-6,edge,332.79355200353626
B0K646LOZ5,菜鸟驿站(新汇华庭店),117.187625,39.134925,1-6,edge,269.47822864144484
B0HUVO5M8I,菜鸟驿站(天津和平区天汇雅苑底商店),117.19008,39.13328,1-6,edge,120.14519372898476
B0GKS9N1SU,菜鸟驿站(天津和平文善里平房7号店),117.191761,39.115399,1-5,edge,505.75327365704794
B0GKJ9ZQQW,菜鸟驿站(宜昌北里店),117.186936,39.108362,1-5,edge,801.8637899479224
B0J2JX3D4O,菜鸟驿站(朗文名邸店),117.19098,39.10416,1-5,edge,1376.571032157025
B0FFH5Q71A,菜鸟驿站(万全里店),117.182275,39.120225,1-5,edge,481.85682632196443
B0M62NU8BL,极兔快递(西安道店),117.20181,39.116648,1-2,edge,232.91021917480947
B0H3DSPVLL,菜鸟驿站(世昌里小区店),117.189878,39.116427,1-5,edge,342.0902086472708
B0L3CUJ2DX,菜鸟速递(天津海光寺站Z),117.187478,39.135448,1-6,edge,243.42212471443548
B0G3FKIHC0,菜鸟驿站(天津世昌里25门底商店),117.189976,39.116249,1-5,edge,363.2190885404148
B0HK0XN1NN,菜鸟驿站(天汇尚苑店),117.185425,39.131775,1-6,edge,334.68512183871076
B0FFJO5DWZ,中通快递(吉星北里店),117.189701,39.11685,1-5,edge,292.9731222860305
B0G07M29DN,菜鸟驿站(天津瑞竹大厦108号店),117.181649,39.120249,1-5,edge,507.80594823580606
B0FFJLGVL1,韵达劝业场服务站,117.193246,39.125296,1-5,edge,297.7276790247763
B0G3MUZFYE,兔喜快递超市(吉利花园店),117.192256,39.117697,1-5,edge,336.47622048938405
B0FFH5PZ1Q,菜鸟驿站(金德园店),117.189881,39.117638,1-5,edge,212.16970819769566
B0J365PY29,天津华瑞货运有限责任公司,117.190343,39.107092,1-5,edge,1120.3100540232692
B0LR3SD2WE,丰巢柜,117.194675,39.103425,1-2,edge,1490.130339339635
B001611OYR,中通快递(万全道店),117.19043,39.126811,1-6,edge,385.3569184153102
B0FFGTCUCS,圆通速递(诚基中心店),117.202075,39.116375,1-2,edge,228.71121887590985
